"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"AIM1","Previous symbol","CRYBG1","crystallin beta-gamma domain containing 1","HGNC:356","6q21"
"AIM1L","Previous symbol","CRYBG2","crystallin beta-gamma domain containing 2","HGNC:17295","1p36.11"
"AKAP2","Approved symbol","AKAP2","A-kinase anchoring protein 2","HGNC:372","9q31.3"
"AKR1C8P","Previous symbol","AKR1C8","aldo-keto reductase family 1 member C8","HGNC:23469","10p15.1"
"ALG1L","Previous symbol","ALG1L1P","ALG1 like 1, pseudogene","HGNC:33721","3q21.2"
"ALMS1P","Previous symbol","ALMS1P1","ALMS1 pseudogene 1","HGNC:29586","2p13.1"
"ALPPL2","Previous symbol","ALPG","alkaline phosphatase, germ cell","HGNC:441","2q37.1"
"ALS2CR11","Previous symbol","C2CD6","C2 calcium dependent domain containing 6","HGNC:14438","2q33.1"
"ALS2CR12","Previous symbol","FLACC1","flagellum associated containing coiled-coil domains 1","HGNC:14439","2q33.1"
"AMICA1","Previous symbol","JAML","junction adhesion molecule like","HGNC:19084","11q23.3"
"ANKRD20A12P","Approved symbol","ANKRD20A12P","ankyrin repeat domain 20 family member A12, pseudogene","HGNC:43603","4"
"ANKRD20A2","Previous symbol","ANKRD20A2P","ankyrin repeat domain 20 family member A2, pseudogene","HGNC:31979","9p11.2"
"ANKRD20A3","Previous symbol","ANKRD20A3P","ankyrin repeat domain 20 family member A3, pseudogene","HGNC:31981","9q21.11"
"ANKRD20A4","Previous symbol","ANKRD20A4P","ankyrin repeat domain 20 family member A4, pseudogene","HGNC:31982","9q13"
"ANO1-AS2","Previous symbol","LINC02584","long intergenic non-protein coding RNA 2584","HGNC:33275","11q13.3"
"ANP32A-IT1","Approved symbol","ANP32A-IT1","ANP32A intronic transcript 1","HGNC:25672","15q23"
"ANP32C","Previous symbol","ANP32CP","acidic nuclear phosphoprotein 32 family member C, pseudogene","HGNC:16675","4q32.3"
"APCDD1L-AS1","Previous symbol","APCDD1L-DT","APCDD1L divergent transcript","HGNC:27152","20q13.32"
"APITD1","Previous symbol","CENPS","centromere protein S","HGNC:23163","1p36.22"
"APITD1-CORT","Previous symbol","CENPS-CORT","CENPS-CORT readthrough","HGNC:38843","1p36.22"
"APOA1BP","Previous symbol","NAXE","NAD(P)HX epimerase","HGNC:18453","1q22"
"APOBEC3A_B","Approved symbol","APOBEC3A_B","APOBEC3A and APOBEC3B deletion hybrid","HGNC:44196","22q13 alternate reference locus"
"APOPT1","Previous symbol","COA8","cytochrome c oxidase assembly factor 8","HGNC:20492","14q32.33"
"ARMC4","Previous symbol","ODAD2","outer dynein arm docking complex subunit 2","HGNC:25583","10p12.1"
"ARNTL","Previous symbol","BMAL1","basic helix-loop-helix ARNT like 1","HGNC:701","11p15.3"
"ARNTL2","Previous symbol","BMAL2","basic helix-loop-helix ARNT like 2","HGNC:18984","12p11.23"
"ARNTL2-AS1","Previous symbol","BMAL2-AS1","BMAL2 antisense RNA 1","HGNC:49892","12p11.23"
"ARSE","Previous symbol","ARSL","arylsulfatase L","HGNC:719","Xp22.33"
"ASAP1-IT1","Approved symbol","ASAP1-IT1","ASAP1 intronic transcript 1","HGNC:24998","8q24.21"
"ASNA1","Previous symbol","GET3","guided entry of tail-anchored proteins factor 3, ATPase","HGNC:752","19p13.13"
"ASUN","Previous symbol","INTS13","integrator complex subunit 13","HGNC:20174","12p11.23"
"ATE1-AS1","Previous symbol","ATE1OSP","ATE1 opposite strand, pseudogene","HGNC:49496","10q26.13"
"ATHL1","Previous symbol","PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase","HGNC:26210","11p15.5"
"ATP5A1","Previous symbol","ATP5F1A","ATP synthase F1 subunit alpha","HGNC:823","18q21.1"
"ATP5B","Previous symbol","ATP5F1B","ATP synthase F1 subunit beta","HGNC:830","12q13.3"
"ATP5C1","Previous symbol","ATP5F1C","ATP synthase F1 subunit gamma","HGNC:833","10p14"
"ATP5D","Previous symbol","ATP5F1D","ATP synthase F1 subunit delta","HGNC:837","19p13.3"
"ATP5E","Previous symbol","ATP5F1E","ATP synthase F1 subunit epsilon","HGNC:838","20q13.32"
"ATP5EP2","Previous symbol","ATP5F1EP2","ATP synthase F1 subunit epsilon pseudogene 2","HGNC:34026","13q12.2"
"ATP5F1","Previous symbol","ATP5PB","ATP synthase peripheral stalk-membrane subunit b","HGNC:840","1p13.2"
"ATP5G1","Previous symbol","ATP5MC1","ATP synthase membrane subunit c locus 1","HGNC:841","17q21.32"
"ATP5G2","Previous symbol","ATP5MC2","ATP synthase membrane subunit c locus 2","HGNC:842","12q13.13"
"ATP5G3","Previous symbol","ATP5MC3","ATP synthase membrane subunit c locus 3","HGNC:843","2q31.1"
"ATP5H","Previous symbol","ATP5PD","ATP synthase peripheral stalk subunit d","HGNC:845","17q25.1"
"ATP5I","Previous symbol","ATP5ME","ATP synthase membrane subunit e","HGNC:846","4p16.3"
"ATP5J","Previous symbol","ATP5PF","ATP synthase peripheral stalk subunit F6","HGNC:847","21q21.3"
"ATP5J2","Previous symbol","ATP5MF","ATP synthase membrane subunit f","HGNC:848","7q22.1"
"ATP5J2-PTCD1","Previous symbol","ATP5MF-PTCD1","ATP5MF-PTCD1 readthrough","HGNC:38844","7q22.1"
"ATP5L","Previous symbol","ATP5MG","ATP synthase membrane subunit g","HGNC:14247","11q23.3"
"ATP5L2","Previous symbol","ATP5MGL","ATP synthase membrane subunit g like","HGNC:13213","22q13.2"
"ATP5O","Previous symbol","ATP5PO","ATP synthase peripheral stalk subunit OSCP","HGNC:850","21q22.11"
"ATP5S","Previous symbol","DMAC2L","distal membrane arm assembly component 2 like","HGNC:18799","14q21.3"
"ATP5SL","Previous symbol","DMAC2","distal membrane arm assembly component 2","HGNC:25496","19q13.2"
"ATPIF1","Previous symbol","ATP5IF1","ATP synthase inhibitory factor subunit 1","HGNC:871","1p35.3"
"AURKAPS1","Previous symbol","AURKAP1","aurora kinase A pseudogene 1","HGNC:18611","1q41"
"AZIN1-AS1","Previous symbol","MAILR","macrophage interferon regulatory lncRNA","HGNC:51558","8q22.3"
"BAGE","Approved symbol","BAGE","B melanoma antigen","HGNC:942","21p11.1 not on reference assembly"
"BAGE3","Approved symbol","BAGE3","BAGE family member 3","HGNC:15728","21p11.2 not on reference assembly"
"BAGE4","Approved symbol","BAGE4","BAGE family member 4","HGNC:15730","21p11.1 not on reference assembly"
"BAGE5","Approved symbol","BAGE5","BAGE family member 5","HGNC:15732","13cen, GRCh38 novel patch"
"BAIAP2-AS1","Previous symbol","BAIAP2-DT","BAIAP2 divergent transcript","HGNC:44342","17q25.3"
"BHLHB9","Previous symbol","GPRASP3","G protein-coupled receptor associated sorting protein family member 3","HGNC:29353","Xq22.1"
"BHMG1","Previous symbol","MEIOSIN","meiosis initiator","HGNC:44318","19q13.32"
"BIN3-IT1","Approved symbol","BIN3-IT1","BIN3 intronic transcript 1","HGNC:25868","8p21.3"
"BLOC1S1-RDH5","Unmatched","","","",""
"BMPR1B-AS1","Previous symbol","BMPR1B-DT","BMPR1B divergent transcript","HGNC:50864","4q22.3"
"BMS1P18","Approved symbol","BMS1P18","BMS1 pseudogene 18","HGNC:19436","14q11.2"
"BMS1P5","Previous symbol","BMS1P1","BMS1 pseudogene 1","HGNC:23649","10q11.22"
"BMS1P6","Previous symbol","BMS1P2","BMS1 pseudogene 2","HGNC:23650","10q11.22"
"BOLA3-AS1","Previous symbol","BOLA3-DT","BOLA3 divergent transcript","HGNC:42922","2p13.1"
"BRCAT107","Alias symbol","LINC02224","long intergenic non-protein coding RNA 2224","HGNC:53093","5p12"
"BRCAT54","Alias symbol","MRPS30-DT","MRPS30 divergent transcript","HGNC:53420","5p12"
"BRE","Previous symbol","BABAM2","BRISC and BRCA1 A complex member 2","HGNC:1106","2p23.2"
"BRE-AS1","Previous symbol","BABAM2-AS1","BABAM2 antisense RNA 1","HGNC:44171","2p23.2"
"BREA2","Alias symbol","LINC02878","long intergenic non-protein coding RNA 2878","HGNC:54524","8q24.3"
"BRWD1-IT2","Previous symbol","BRWD1-AS2","BRWD1 antisense RNA 2","HGNC:16423","21q22.2"
"BSN-AS2","Previous symbol","BSN-DT","BSN divergent transcript","HGNC:42445","3p21.31"
"BTBD11","Previous symbol","ABTB3","ankyrin repeat and BTB domain containing 3","HGNC:23844","12q23.3"
"BTNL10","Previous symbol","BTNL10P","butyrophilin like 10, pseudogene","HGNC:42540","1q42.13"
"BZRAP1","Previous symbol","TSPOAP1","TSPO associated protein 1","HGNC:16831","17q22"
"BZRAP1-AS1","Previous symbol","TSPOAP1-AS1","TSPOAP1, SUPT4H1 and RNF43 antisense RNA 1","HGNC:44148","17q22"
"C10orf10","Previous symbol","DEPP1","DEPP autophagy regulator 1","HGNC:23355","10q11.21"
"C10orf107","Previous symbol","CABCOCO1","ciliary associated calcium binding coiled-coil 1","HGNC:28678","10q21.2"
"C10orf11","Previous symbol","LRMDA","leucine rich melanocyte differentiation associated","HGNC:23405","10q22.2-q22.3"
"C10orf111","Previous symbol","RPP38-DT","RPP38 divergent transcript","HGNC:28582","10p13"
"C10orf113","Previous symbol","NEBL","nebulette","HGNC:16932","10p12.31"
"C10orf12","Previous symbol","LCOR","ligand dependent nuclear receptor corepressor","HGNC:29503","10q24.1"
"C10orf126","Approved symbol","C10orf126","chromosome 10 open reading frame 126","HGNC:28693","10p12.1"
"C10orf128","Previous symbol","TMEM273","transmembrane protein 273","HGNC:27274","10q11.23"
"C10orf131","Previous symbol","CC2D2B","coiled-coil and C2 domain containing 2B","HGNC:31666","10q24.1"
"C10orf142","Previous symbol","LINC02881","long intergenic non-protein coding RNA 2881","HGNC:51236","10q11.21"
"C10orf2","Previous symbol","TWNK","twinkle mtDNA helicase","HGNC:1160","10q24.31"
"C10orf25","Previous symbol","ZNF22-AS1","ZNF22 antisense RNA 1","HGNC:23509","10q11.21"
"C10orf32","Previous symbol","BORCS7","BLOC-1 related complex subunit 7","HGNC:23516","10q24.32"
"C10orf32-ASMT","Previous symbol","BORCS7-ASMT","BORCS7-ASMT readthrough (NMD candidate)","HGNC:49183","10q24.32"
"C10orf35","Previous symbol","FAM241B","family with sequence similarity 241 member B","HGNC:23519","10q22.1"
"C10orf54","Previous symbol","VSIR","V-set immunoregulatory receptor","HGNC:30085","10q22.1"
"C10orf76","Previous symbol","ARMH3","armadillo like helical domain containing 3","HGNC:25788","10q24.32"
"C10orf82","Previous symbol","SPMIP5","sperm microtubule inner protein 5","HGNC:28500","10q25.3"
"C10orf91","Previous symbol","LINC02870","long intergenic non-protein coding RNA 2870","HGNC:27275","10q26.3"
"C10orf99","Previous symbol","GPR15LG","G protein-coupled receptor 15 ligand","HGNC:31428","10q23.1"
"C11orf1","Previous symbol","CFAP68","cilia and flagella associated protein 68","HGNC:1163","11q23.1"
"C11orf30","Previous symbol","EMSY","EMSY transcriptional repressor, BRCA2 interacting","HGNC:18071","11q13.5"
"C11orf31","Previous symbol","SELENOH","selenoprotein H","HGNC:18251","11q12.1"
"C11orf39","Previous symbol","NTM-AS1","NTM antisense RNA 1","HGNC:32293","11q25"
"C11orf44","Previous symbol","LINC02873","long intergenic non-protein coding RNA 2873","HGNC:26805","11q24.3"
"C11orf45","Previous symbol","KCNJ5-AS1","KCNJ5 antisense RNA 1","HGNC:28584","11q24.3"
"C11orf49","Previous symbol","CSTPP1","centriolar satellite-associated tubulin polyglutamylase complex regulator 1","HGNC:28720","11p11.2"
"C11orf53","Previous symbol","POU2AF2","POU class 2 homeobox associating factor 2","HGNC:30527","11q23.1"
"C11orf57","Previous symbol","NKAPD1","NKAP domain containing 1","HGNC:25569","11q23.1"
"C11orf63","Previous symbol","JHY","junctional cadherin complex regulator","HGNC:26288","11q24.1"
"C11orf70","Previous symbol","CFAP300","cilia and flagella associated protein 300","HGNC:28188","11q22.1"
"C11orf72","Previous symbol","NDUFV1-DT","NDUFV1 divergent transcript","HGNC:26915","11q13.2"
"C11orf73","Previous symbol","HIKESHI","heat shock protein nuclear import factor hikeshi","HGNC:26938","11q14.2"
"C11orf74","Previous symbol","IFTAP","intraflagellar transport associated protein","HGNC:25142","11p12"
"C11orf84","Previous symbol","SPINDOC","spindlin interactor and repressor of chromatin binding","HGNC:25115","11q13.1"
"C11orf85","Previous symbol","MAJIN","membrane anchored junction protein","HGNC:27441","11q13.1"
"C11orf88","Previous symbol","HOATZ","HOATZ cilia and flagella associated protein","HGNC:25061","11q23.1"
"C11orf94","Previous symbol","FREY1","Frey regulator of sperm-oocyte fusion 1","HGNC:37213","11p11.2"
"C11orf95","Previous symbol","ZFTA","zinc finger translocation associated","HGNC:28449","11q13.1"
"C12orf10","Previous symbol","MYG1","MYG1 exonuclease","HGNC:17590","12q13.13"
"C12orf29","Previous symbol","RLIG1","RNA 5'-phosphate and 3'-OH ligase 1","HGNC:25322","12q21.32"
"C12orf45","Previous symbol","NOPCHAP1","NOP protein chaperone 1","HGNC:28628","12q23.3"
"C12orf49","Previous symbol","SPRING1","SREBF pathway regulator in golgi 1","HGNC:26128","12q24.22"
"C12orf65","Previous symbol","MTRFR","mitochondrial translation release factor in rescue","HGNC:26784","12q24.31"
"C12orf66","Previous symbol","KICS2","KICSTOR subunit 2","HGNC:26517","12q14.2"
"C12orf73","Previous symbol","UQCC6","ubiquinol-cytochrome c reductase complex assembly factor 6","HGNC:34450","12q23.3"
"C12orf74","Previous symbol","PLEKHG7","pleckstrin homology and RhoGEF domain containing G7","HGNC:33829","12q22"
"C12orf77","Previous symbol","LINC02909","long intergenic non-protein coding RNA 2909","HGNC:27282","12p12.1"
"C12orf79","Previous symbol","LINC01619","long intergenic non-protein coding RNA 1619","HGNC:27409","12q21.33"
"C12orf80","Previous symbol","LINC02874","long intergenic non-protein coding RNA 2874","HGNC:27473","12q13.13"
"C14orf1","Previous symbol","ERG28","ergosterol biosynthesis 28 homolog","HGNC:1187","14q24.3"
"C14orf105","Previous symbol","CCDC198","coiled-coil domain containing 198","HGNC:20189","14q22.3"
"C14orf142","Previous symbol","GON7","GON7 subunit of KEOPS complex","HGNC:20356","14q32.12"
"C14orf159","Previous symbol","DGLUCY","D-glutamate cyclase","HGNC:20498","14q32.11"
"C14orf166","Previous symbol","RTRAF","RNA transcription, translation and transport factor","HGNC:23169","14q22.1"
"C14orf169","Previous symbol","RIOX1","ribosomal oxygenase 1","HGNC:20968","14q24.3"
"C14orf177","Previous symbol","LINC02914","long intergenic non-protein coding RNA 2914","HGNC:26375","14q32.2"
"C14orf2","Previous symbol","ATP5MJ","ATP synthase membrane subunit j","HGNC:1188","14q32.33"
"C14orf37","Previous symbol","ARMH4","armadillo like helical domain containing 4","HGNC:19846","14q23.1"
"C14orf79","Previous symbol","CLBA1","clathrin binding box of aftiphilin containing 1","HGNC:20126","14q32.33"
"C14orf80","Previous symbol","TEDC1","tubulin epsilon and delta complex 1","HGNC:20127","14q32.33"
"C15orf26","Previous symbol","CFAP161","cilia and flagella associated protein 161","HGNC:26782","15q25.1"
"C15orf27","Previous symbol","TMEM266","transmembrane protein 266","HGNC:26763","15q24.2"
"C15orf38-AP3S2","Previous symbol","ARPIN-AP3S2","ARPIN-AP3S2 readthrough","HGNC:38824","15q26.1"
"C15orf41","Previous symbol","CDIN1","CDAN1 interacting nuclease 1","HGNC:26929","15q14"
"C15orf43","Previous symbol","TERB2","telomere repeat binding bouquet formation protein 2","HGNC:28520","15q21.1"
"C15orf52","Previous symbol","CCDC9B","coiled-coil domain containing 9B","HGNC:33488","15q15.1"
"C15orf53","Previous symbol","LINC02694","long intergenic non-protein coding RNA 2694","HGNC:33796","15q14"
"C15orf54","Previous symbol","LINC02915","long intergenic non-protein coding RNA 2915","HGNC:33797","15q14"
"C15orf56","Previous symbol","PAK6-AS1","PAK6 antisense RNA 1","HGNC:33868","15q15.1"
"C15orf57","Previous symbol","CCDC32","coiled-coil domain containing 32","HGNC:28295","15q15.1"
"C15orf59","Previous symbol","INSYN1","inhibitory synaptic factor 1","HGNC:33753","15q24.1"
"C15orf59-AS1","Previous symbol","INSYN1-AS1","INSYN1 antisense RNA 1","HGNC:51422","15q24.1"
"C15orf65","Previous symbol","PIERCE2","piercer of microtubule wall 2","HGNC:44654","15q21.3"
"C16orf13","Previous symbol","METTL26","methyltransferase like 26","HGNC:14141","16p13.3"
"C16orf45","Previous symbol","BMERB1","bMERB domain containing 1","HGNC:19213","16p13.11"
"C16orf47","Previous symbol","ZFHX3","zinc finger homeobox 3","HGNC:777","16q22.2-q22.3"
"C16orf52","Previous symbol","MOSMO","modulator of smoothened","HGNC:27087","16p12.2"
"C16orf58","Previous symbol","RUSF1","RUS family member 1","HGNC:25848","16p11.2"
"C16orf59","Previous symbol","TEDC2","tubulin epsilon and delta complex 2","HGNC:25849","16p13.3"
"C16orf62","Previous symbol","VPS35L","VPS35 endosomal protein sorting factor like","HGNC:24641","16p12.3"
"C16orf70","Previous symbol","PHAF1","phagosome assembly factor 1","HGNC:29564","16q22.1"
"C16orf71","Previous symbol","DNAAF8","dynein axonemal assembly factor 8","HGNC:25081","16p13.3"
"C16orf72","Previous symbol","HAPSTR1","HUWE1 associated protein modifying stress responses","HGNC:30103","16p13.2"
"C16orf91","Previous symbol","UQCC4","ubiquinol-cytochrome c reductase complex assembly factor 4","HGNC:27558","16p13.3"
"C16orf93","Previous symbol","CFAP119","cilia and flagella associated protein 119","HGNC:28078","16p11.2"
"C16orf97","Previous symbol","LINC02911","long intergenic non-protein coding RNA 2911","HGNC:44658","16q12.1"
"C17orf102","Previous symbol","TMEM132E-DT","TMEM132E divergent transcript","HGNC:34412","17q12"
"C17orf104","Previous symbol","MEIOC","meiosis specific with coiled-coil domain","HGNC:26670","17q21.31"
"C17orf105","Previous symbol","CFAP97D1","CFAP97 domain containing 1","HGNC:37241","17q21.31"
"C17orf112","Previous symbol","LINC02876","long intergenic non-protein coding RNA 2876","HGNC:42963","17q22"
"C17orf47","Previous symbol","SEPTIN4","septin 4","HGNC:9165","17q22"
"C17orf51","Previous symbol","LINC02693","long intergenic non-protein coding RNA 2693","HGNC:27904","17p11.2"
"C17orf53","Previous symbol","HROB","homologous recombination factor with OB-fold","HGNC:28460","17q21.31"
"C17orf59","Previous symbol","BORCS6","BLOC-1 related complex subunit 6","HGNC:25939","17p13.1"
"C17orf62","Previous symbol","CYBC1","cytochrome b-245 chaperone 1","HGNC:28672","17q25.3"
"C17orf64","Previous symbol","CHCT1","CHD1 helical C-terminal domain containing 1","HGNC:26990","17q23.2"
"C17orf74","Previous symbol","SPEM2","SPEM family member 2","HGNC:27315","17p13.1"
"C17orf77","Previous symbol","CD300LD-AS1","CD300LD antisense RNA 1","HGNC:26480","17q25.1"
"C17orf82","Previous symbol","LINC02875","long intergenic non-protein coding RNA 2875","HGNC:32699","17q23.2"
"C17orf85","Previous symbol","NCBP3","nuclear cap binding subunit 3","HGNC:24612","17p13.2"
"C17orf89","Previous symbol","NDUFAF8","NADH:ubiquinone oxidoreductase complex assembly factor 8","HGNC:33551","17q25.3"
"C17orf96","Previous symbol","EPOP","elongin BC and polycomb repressive complex 2 associated protein","HGNC:34493","17q12"
"C17orf97","Previous symbol","LIAT1","ligand of ATE1","HGNC:33800","17p13.3"
"C17orf98","Previous symbol","SPMAP1","sperm microtubule associated protein 1","HGNC:34492","17q12"
"C18orf25","Previous symbol","ARK2N","arkadia (RNF111) N-terminal like PKA signaling regulator 2N","HGNC:28172","18q21.1"
"C18orf42","Previous symbol","AKAIN1","A-kinase anchor inhibitor 1","HGNC:28285","18p11.31"
"C18orf61","Entry withdrawn","C18orf61","","HGNC:26362",""
"C18orf65","Previous symbol","ZNF516-DT","ZNF516 divergent transcript","HGNC:51248","18q23"
"C18orf8","Previous symbol","RMC1","regulator of MON1-CCZ1","HGNC:24326","18q11.2"
"C19orf24","Previous symbol","FAM174C","family with sequence similarity 174 member C","HGNC:26073","19p13.3"
"C19orf35","Previous symbol","PEAK3","PEAK family member 3","HGNC:24793","19p13.3"
"C19orf43","Previous symbol","TRIR","telomerase RNA component interacting RNase","HGNC:28424","19p13.13"
"C19orf45","Previous symbol","SAXO5","stabilizer of axonemal microtubules 5","HGNC:24745","19p13.2"
"C19orf48","Previous symbol","C19orf48P","chromosome 19 open reading frame 48, pseudogene","HGNC:29667","19q13.33"
"C19orf52","Previous symbol","TIMM29","translocase of inner mitochondrial membrane 29","HGNC:25152","19p13.2"
"C19orf54","Previous symbol","ACTMAP","actin maturation protease","HGNC:24758","19q13.2"
"C19orf57","Previous symbol","BRME1","break repair meiotic recombinase recruitment factor 1","HGNC:28153","19p13.12"
"C19orf60","Previous symbol","REX1BD","required for excision 1-B domain containing","HGNC:26098","19p13.11"
"C19orf66","Previous symbol","SHFL","shiftless antiviral inhibitor of ribosomal frameshifting","HGNC:25649","19p13.2"
"C19orf68","Previous symbol","ZSWIM9","zinc finger SWIM-type containing 9","HGNC:34495","19q13.33"
"C19orf70","Previous symbol","MICOS13","mitochondrial contact site and cristae organizing system subunit 13","HGNC:33702","19p13.3"
"C19orf71","Previous symbol","TEKTIP1","tektin bundle interacting protein 1","HGNC:34496","19p13.3"
"C19orf80","Previous symbol","ANGPTL8","angiopoietin like 8","HGNC:24933","19p13.2"
"C1QTNF9B-AS1","Previous symbol","PCOTH","prostate and testis expressed opposite C1QTNF9B and MIPEP","HGNC:39839","13q12.12"
"C1orf100","Previous symbol","SPMIP3","sperm microtubule inner protein 3","HGNC:30435","1q44"
"C1orf101","Previous symbol","CATSPERE","catsper channel auxiliary subunit epsilon","HGNC:28491","1q44"
"C1orf106","Previous symbol","INAVA","innate immunity activator","HGNC:25599","1q32.1"
"C1orf109","Previous symbol","AIRIM","AFG2 interacting ribosome maturation factor","HGNC:26039","1p34.3"
"C1orf110","Previous symbol","CCDC190","coiled-coil domain containing 190","HGNC:28736","1q23.3"
"C1orf111","Previous symbol","SPATA46","spermatogenesis associated 46","HGNC:27648","1q23.3"
"C1orf112","Previous symbol","FIRRM","FIGNL1 interacting regulator of recombination and mitosis","HGNC:25565","1q24.2"
"C1orf123","Previous symbol","CZIB","CXXC motif containing zinc binding protein","HGNC:26059","1p32.3"
"C1orf137","Previous symbol","LINC02868","long intergenic non-protein coding RNA 2868","HGNC:32040","1p13.1"
"C1orf140","Previous symbol","LINC02817","long intergenic non-protein coding RNA 2817","HGNC:32042","1q41"
"C1orf145","Previous symbol","OBSCN-AS1","OBSCN antisense RNA 1","HGNC:32047","1q42.13"
"C1orf158","Previous symbol","CFAP107","cilia and flagella associated protein 107","HGNC:28567","1p36.21"
"C1orf168","Previous symbol","FYB2","FYN binding protein 2","HGNC:27295","1p32.2"
"C1orf177","Previous symbol","CIMAP2","ciliary microtubule associated protein 2","HGNC:26854","1p32.3"
"C1orf186","Previous symbol","RHEX","regulator of hemoglobinization and erythroid cell expansion","HGNC:25341","1q32.1"
"C1orf189","Previous symbol","CFAP141","cilia and flagella associated protein 141","HGNC:32305","1q21.3"
"C1orf194","Previous symbol","CFAP276","cilia and flagella associated protein 276","HGNC:32331","1p13.3"
"C1orf195","Previous symbol","TMEM51-AS2","TMEM51 antisense RNA 2","HGNC:32332","1p36.21"
"C1orf204","Previous symbol","SNHG28","small nucleolar RNA host gene 28","HGNC:27647","1q23.2"
"C1orf228","Previous symbol","ARMH1","armadillo like helical domain containing 1","HGNC:34345","1p34.1"
"C1orf229","Previous symbol","LINC02897","long intergenic non-protein coding RNA 2897","HGNC:33759","1q44"
"C1orf233","Previous symbol","FNDC10","fibronectin type III domain containing 10","HGNC:42951","1p36.33"
"C1orf234","Previous symbol","TEX46","testis expressed 46","HGNC:44651","1p36.12"
"C1orf27","Previous symbol","ODR4","odr-4 GPCR localization factor homolog","HGNC:24299","1q31.1"
"C1orf61","Previous symbol","MIR9-1HG","MIR9-1 host gene","HGNC:30780","1q22"
"C1orf64","Previous symbol","SRARP","steroid receptor associated and regulated protein","HGNC:28339","1p36.13"
"C1orf68","Previous symbol","KPLCE","KPRP N-terminal and LCE C-terminal like protein","HGNC:29468","1q21.3"
"C1orf95","Previous symbol","STUM","stum, mechanosensory transduction mediator homolog","HGNC:30491","1q42.12"
"C20orf166-AS1","Previous symbol","CRMA","cardiomyocyte maturation associated lncRNA","HGNC:26393","20q13.33"
"C20orf194","Previous symbol","DNAAF9","dynein axonemal assembly factor 9","HGNC:17721","20p13"
"C20orf195","Previous symbol","FNDC11","fibronectin type III domain containing 11","HGNC:28764","20q13.33"
"C20orf196","Previous symbol","SHLD1","shieldin complex subunit 1","HGNC:26318","20p12.3"
"C20orf197","Previous symbol","LINC02910","long intergenic non-protein coding RNA 2910","HGNC:26601","20q13.33"
"C20orf24","Previous symbol","RAB5IF","RAB5 interacting factor","HGNC:15870","20q11.23"
"C20orf27","Previous symbol","ADISSP","adipose secreted signaling protein","HGNC:15873","20p13"
"C20orf62","Previous symbol","LINC01620","long intergenic non-protein coding RNA 1620","HGNC:16195","20q13.12"
"C20orf78","Previous symbol","SCP2D1-AS1","SCP2D1 antisense RNA 1","HGNC:16210","20p11.23"
"C20orf85","Previous symbol","CIMIP1","ciliary microtubule inner protein 1","HGNC:16216","20q13.32"
"C21orf2","Previous symbol","CFAP410","cilia and flagella associated protein 410","HGNC:1260","21q22.3"
"C21orf33","Previous symbol","GATD3","glutamine amidotransferase class 1 domain containing 3","HGNC:1273","21q22.3"
"C21orf59","Previous symbol","CFAP298","cilia and flagella associated protein 298","HGNC:1301","21q22.11"
"C22orf24","Previous symbol","YWHAH-AS1","YWHAH antisense RNA 1","HGNC:23051","22q12.3"
"C22orf29","Previous symbol","RTL10","retrotransposon Gag like 10","HGNC:26112","22q11.21"
"C22orf34","Previous symbol","MIR3667HG","MIR3667 host gene","HGNC:28010","22q13.33"
